product_id,product_category,price
P0000,home_and_kitchen,242.27
P0001,beauty,12.81
P0002,books,34.92
P0003,sports_and_outdoors,283.08
P0004,beauty,60.71
P0005,beauty,49.24
P0006,apparel,93.57
P0007,electronics,366.35
P0008,electronics,152.06
P0009,home_and_kitchen,79.57
P0010,home_and_kitchen,234.57
P0011,electronics,504.73
P0012,books,30.89
P0013,apparel,40.64
P0014,home_and_kitchen,14.02
P0015,electronics,283.88
P0016,home_and_kitchen,134.06
P0017,beauty,21.75
P0018,sports_and_outdoors,281.75
P0019,beauty,48.57
P0020,beauty,50.53
P0021,sports_and_outdoors,83.97
P0022,electronics,829.33
P0023,beauty,53.05
P0024,apparel,116.74
P0025,apparel,113.15
P0026,books,21.03
P0027,sports_and_outdoors,40.08
P0028,beauty,62.22
P0029,apparel,46.34
P0030,books,34.56
P0031,sports_and_outdoors,24.62
P0032,sports_and_outdoors,145.95
P0033,books,29.55
P0034,apparel,102.49
P0035,apparel,118.19
P0036,books,15.88
P0037,sports_and_outdoors,124.8
P0038,electronics,669.88
P0039,books,7.31
P0040,books,25.47
P0041,apparel,116.86
P0042,electronics,215.56
P0043,electronics,745.83
P0044,beauty,11.83
P0045,home_and_kitchen,118.74
P0046,home_and_kitchen,111.22
P0047,home_and_kitchen,69.62
P0048,home_and_kitchen,14.8
P0049,beauty,44.42
P0050,apparel,31.18
P0051,home_and_kitchen,47.6
P0052,apparel,30.28
P0053,apparel,68.58
P0054,sports_and_outdoors,156.76
P0055,home_and_kitchen,156.5
P0056,apparel,25.72
P0057,apparel,33.75
P0058,books,8.12
P0059,sports_and_outdoors,186.83
